Titulo,Fuente,Popularidad,URL
openclaw,GitHub,376106,https://github.com/openclaw/openclaw
n8n,GitHub,190674,https://github.com/n8n-io/n8n
AutoGPT,GitHub,184708,https://github.com/Significant-Gravitas/AutoGPT
hermes-agent,GitHub,176257,https://github.com/NousResearch/hermes-agent
stable-diffusion-webui,GitHub,163388,https://github.com/AUTOMATIC1111/stable-diffusion-webui
prompts.chat,GitHub,163167,https://github.com/f/prompts.chat
JavaGuide,GitHub,156040,https://github.com/Snailclimb/JavaGuide
langflow,GitHub,149053,https://github.com/langflow-ai/langflow
dify,GitHub,143466,https://github.com/langgenius/dify
open-webui,GitHub,139600,https://github.com/open-webui/open-webui
system-prompts-and-models-of-ai-tools,GitHub,138687,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
langchain,GitHub,138266,https://github.com/langchain-ai/langchain
firecrawl,GitHub,127398,https://github.com/firecrawl/firecrawl
ComfyUI,GitHub,115331,https://github.com/Comfy-Org/ComfyUI
awesome-llm-apps,GitHub,112541,https://github.com/Shubhamsaboo/awesome-llm-apps
generative-ai-for-beginners,GitHub,111576,https://github.com/microsoft/generative-ai-for-beginners
spec-kit,GitHub,107624,https://github.com/github/spec-kit
agency-agents,GitHub,106762,https://github.com/msitarzewski/agency-agents
gemini-cli,GitHub,104850,https://github.com/google-gemini/gemini-cli
supabase,GitHub,103315,https://github.com/supabase/supabase
browser-use,GitHub,96608,https://github.com/browser-use/browser-use
LLMs-from-scratch,GitHub,96479,https://github.com/rasbt/LLMs-from-scratch
Deep-Live-Cam,GitHub,93545,https://github.com/hacksider/Deep-Live-Cam
awesome-mcp-servers,GitHub,88329,https://github.com/punkpeye/awesome-mcp-servers
NextChat,GitHub,88156,https://github.com/ChatGPTNextWeb/NextChat
ui-ux-pro-max-skill,GitHub,86149,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
autoresearch,GitHub,84615,https://github.com/karpathy/autoresearch
ragflow,GitHub,81690,https://github.com/infiniflow/ragflow
funNLP,GitHub,81003,https://github.com/fighting41love/funNLP
claude-mem,GitHub,80124,https://github.com/thedotmack/claude-mem
The newest Instagram “exploit” is the goofiest I've seen,HackerNews,1521,https://www.0xsid.com/blog/meta-account-takeover-fiasco
macOS needs its grid back,HackerNews,156,https://blog.hopefullyuseful.com/blog/macos-needs-its-grid-back/
"Can the stockmarket swallow Anthropic, SpaceX and OpenAI?",HackerNews,205,https://www.economist.com/finance-and-economics/2026/06/01/can-the-stockmarket-swallow-anthropic-spacex-and-openai
OpenAI frontier models and Codex are now available on AWS,HackerNews,201,https://openai.com/index/openai-frontier-models-and-codex-are-now-available-on-aws/
Chipotlai Max,HackerNews,140,https://github.com/cyberpapiii/chipotlai-max
How is Groq raising more money?,HackerNews,67,https://www.zach.be/p/how-the-hell-is-groq-raising-more
KL Zero: KL divergence intuition game,HackerNews,18,https://klzero.sarna.dev
Fooling around with encrypted reasoning blobs,HackerNews,39,https://blog.cryptographyengineering.com/2026/05/29/fooling-around-with-encrypted-reasoning-blobs/
Debug Project,HackerNews,178,https://debug.com/
AI Agent Guidelines for CS336 at Stanford,HackerNews,367,https://github.com/stanford-cs336/assignment1-basics/blob/main/CLAUDE.md
Squillions: How Money Laundering Won,HackerNews,52,https://www.lrb.co.uk/the-paper/v48/n09/john-lanchester/squillions
CS336: Language Modeling from Scratch,HackerNews,409,https://cs336.stanford.edu/
Should you normalize RGB values by 255 or 256?,HackerNews,222,https://30fps.net/pages/255-vs-256-division/
Crystal Nights (2008),HackerNews,24,https://www.gregegan.net/MISC/CRYSTAL/Crystal.html
Microsoft builds MacBook Pro rival with NVIDIA-powered Surface Laptop Ultra,HackerNews,184,https://www.windowslatest.com/2026/06/01/microsoft-builds-its-ultimate-macbook-pro-rival-with-the-nvidia-powered-surface-laptop-ultra/
Nvidia RTX Spark,HackerNews,366,https://www.nvidia.com/en-us/products/rtx-spark/
What appear to be biochemical processes may be a natural feature of geology,HackerNews,208,https://www.quantamagazine.org/the-dirt-that-refused-to-die-20260601/
A new way to build chips: Sequentially stacking silicon to extend Moore's Law,HackerNews,34,https://matse.illinois.edu/news/85775
Alphabet announces $80B equity capital raise to expand AI infra and compute,HackerNews,148,https://abc.xyz/investor/news/news-details/2026/Alphabet-Announces-Proposed-80-Billion-Equity-Capital-Raise-to-Expand-AI-Infrastructure-and-Compute-2026-b0myAMewCa/default.aspx
Florida sues OpenAI and Sam Altman over AI risks,HackerNews,197,https://www.politico.com/news/2026/06/01/openai-hit-with-florida-lawsuit-00944215
I made my phone slow on purpose,HackerNews,179,https://vinewallapp.com/notes/i-made-my-phone-slow-on-purpose/
"Age verification for social media, the beginning of the end for a free internet?",HackerNews,149,https://mullvad.net/en/blog/age-verification-for-social-media-the-beginning-of-the-end-for-a-free-internet
Stealing from Biologists to Compile Haskell Faster,HackerNews,104,https://www.iankduncan.com/engineering/2026-05-30-stealing-from-biologists-to-compile-haskell-faster/
Palindromes by Eric Harshbarger,HackerNews,7,http://www.ericharshbarger.org/cgi-bin/palindrome_viewer.cgi
Flipper Zero Zig Template,HackerNews,136,https://github.com/NishantJoshi00/flipper-template
Windows GOG DOS Games on M-Series Macs,HackerNews,144,https://f055.net/technology/windows-gog-dos-games-on-m-series-macs/
Book Dedications,HackerNews,16,https://walzr.com/dedications
Anthropic confidentially submits draft S-1 to the SEC,HackerNews,469,https://www.anthropic.com/news/confidential-draft-s1-sec
"The Pirate Bay Remains Resilient, 20 Years After the Raid",HackerNews,535,https://torrentfreak.com/the-pirate-bay-remains-resilient-20-years-after-the-raid/
Malicious npm packages detected across Red Hat Cloud Services,HackerNews,740,https://github.com/RedHatInsights/javascript-clients/issues/492
The Frame Problem (2004),HackerNews,20,https://plato.stanford.edu/entries/frame-problem/
Linux Basics for Hackers (2019),HackerNews,140,https://github.com/ahegazy0/linux-basics-for-hackers-notes
"Toy Story 5 shows 'terror' of children's screen addiction, says Tom Hanks",HackerNews,17,https://www.bbc.com/news/articles/cy5222wn410o
What's gonna happen to software engineers?,HackerNews,44,https://yakko.dev/blog/whats-gonna-happen-to-software-developers
Handmade Hawaiian Islands Map,HackerNews,61,https://www.notesfromtheroad.com/roam/hawaiian-islands-map.html
Show HN: DepsGuard – One command to harden NPM/pnpm/yarn/bun/uv configs,HackerNews,22,https://github.com/arnica/depsguard
