Nombre,Lenguaje,Stars,Forks,URL
openclaw,TypeScript,375813,78453,https://github.com/openclaw/openclaw
n8n,TypeScript,190455,58164,https://github.com/n8n-io/n8n
AutoGPT,Python,184668,46203,https://github.com/Significant-Gravitas/AutoGPT
hermes-agent,Python,174399,29595,https://github.com/NousResearch/hermes-agent
stable-diffusion-webui,Python,163347,30365,https://github.com/AUTOMATIC1111/stable-diffusion-webui
prompts.chat,HTML,163109,21208,https://github.com/f/prompts.chat
JavaGuide,JavaScript,156000,46135,https://github.com/Snailclimb/JavaGuide
langflow,Python,148934,9147,https://github.com/langflow-ai/langflow
dify,TypeScript,143289,22540,https://github.com/langgenius/dify
open-webui,Python,139364,19987,https://github.com/open-webui/open-webui
system-prompts-and-models-of-ai-tools,,138619,34501,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
langchain,Python,138102,22886,https://github.com/langchain-ai/langchain
firecrawl,TypeScript,126757,7588,https://github.com/firecrawl/firecrawl
ComfyUI,Python,115118,13457,https://github.com/Comfy-Org/ComfyUI
awesome-llm-apps,Python,112337,16675,https://github.com/Shubhamsaboo/awesome-llm-apps
generative-ai-for-beginners,Jupyter Notebook,111542,59868,https://github.com/microsoft/generative-ai-for-beginners
spec-kit,Python,107302,9495,https://github.com/github/spec-kit
agency-agents,Shell,106319,17530,https://github.com/msitarzewski/agency-agents
gemini-cli,TypeScript,104785,13959,https://github.com/google-gemini/gemini-cli
supabase,TypeScript,103254,12589,https://github.com/supabase/supabase
LLMs-from-scratch,Jupyter Notebook,96394,14746,https://github.com/rasbt/LLMs-from-scratch
browser-use,Python,96391,10804,https://github.com/browser-use/browser-use
Deep-Live-Cam,Python,93481,13634,https://github.com/hacksider/Deep-Live-Cam
awesome-mcp-servers,,88238,10945,https://github.com/punkpeye/awesome-mcp-servers
NextChat,TypeScript,88138,59681,https://github.com/ChatGPTNextWeb/NextChat
ui-ux-pro-max-skill,Python,85448,8822,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
autoresearch,Python,84302,12244,https://github.com/karpathy/autoresearch
ragflow,Python,81597,9383,https://github.com/infiniflow/ragflow
funNLP,Python,80981,15215,https://github.com/fighting41love/funNLP
claude-mem,TypeScript,79850,6874,https://github.com/thedotmack/claude-mem
