Titulo,Score,Autor,URL
Cloudflare Turnstile requiring fingerprintable WebGL,101,HypnoticOcelot,https://hacktivis.me/articles/cloudflare-turnstile-webgl-fingerprinting
Dav2d,261,captain_bender,https://jbkempf.com/blog/2026/dav2d/
The solution might be cancelling my AI subscription,61,dmw_ng,https://thoughts.hmmz.org/2026-05-31.html
1-Bit Bonsai Image 4B Image Generation for Local Devices,11,modinfo,https://prismml.com/news/bonsai-image-4b
The Website Specification,326,k1m,https://specification.website/
London's Free Roof Terraces,186,zeristor,https://diamondgeezer.blogspot.com/2026/05/londons-free-roof-terraces.html
Restartable Sequences,15,grappler,https://justine.lol/rseq/
I Put a Datacenter GPU in My Gaming PC for £200,95,birdculture,https://blog.tymscar.com/posts/v100localllm/
Domain expertise has always been the real moat,742,aaronbrethorst,https://www.brethorsting.com/blog/2026/05/domain-expertise-has-always-been-the-real-moat/
Security Envelope Pattern collection – S.E.C.R.E.T,55,ColinWright,https://secret-archive.org/
Shantell Sans (2023),337,aleda145,https://shantellsans.com/process
"One year of Roto, a compiled scripting language for Rust",88,Hasnep,https://blog.nlnetlabs.nl/one-year-of-roto-the-compiled-scripting-language-for-rust/
The AV2 Video Standard Has Released (Final v1.0 Specification),286,ksec,https://av2.aomedia.org
A Gentle Introduction to Lattice-Based Cryptography [pdf],128,jayhoon,https://cryptography101.ca/wp-content/uploads/lattice-based-cryptography.pdf
I found a seashell in the middle of the desert,377,Hawzen,https://github.com/Hawzen/I-found-a-seashell-in-the-middle-of-the-desert#i-found-a-seashell-in-the-middle-of-the-desert
Show HN: Atomic Editor – Obsidian-style live preview for CodeMirror 6,13,kenforthewin,https://kenforthewin.github.io/atomic-editor/
Frost: [Browser] Fingerprinting Remotely Using OPFS-Based SSD Timing [pdf],5,simjnd,https://hannesweissteiner.com/pdfs/frost.pdf
Avian Visitors,88,fdb,https://theodore.net/projects/AvianVisitors/
"The ""Stars"" of Titanic (2012)",5,tosh,https://blogs.loc.gov/inside_adams/2012/04/the-stars-of-titanic/
Inkstravaganza,13,surprisetalk,https://www.inkandswitch.com/newsletter/dispatch-015/
